Rank	Word	Frequency	Frequency per million	Zipf value
150	gortoz	68	640.7357	5.8067
150	labour	68	640.7357	5.8067
151	skarzh	67	631.3131	5.8002
152	a-benn	66	621.8905	5.7937
152	ganeoc'h	66	621.8905	5.7937
152	peogwir	66	621.8905	5.7937
152	soudard	66	621.8905	5.7937
153	'benn	65	612.468	5.7871
153	ac'hanoc'h	65	612.468	5.7871
153	revr	65	612.468	5.7871
153	veg	65	612.468	5.7871
154	a-sav	64	603.0454	5.7804
154	arc'hant	64	603.0454	5.7804
154	lazhañ	64	603.0454	5.7804
154	sellet	64	603.0454	5.7804
155	evel	63	593.6228	5.7735
155	iskis	63	593.6228	5.7735
155	kompren	63	593.6228	5.7735
156	'z	62	584.2002	5.7666
156	distreiñ	62	584.2002	5.7666
156	doa	62	584.2002	5.7666
156	fouzhañ	62	584.2002	5.7666
156	gloazet	62	584.2002	5.7666
156	gouzout	62	584.2002	5.7666
156	kemer	62	584.2002	5.7666
156	rit	62	584.2002	5.7666
156	serjant	62	584.2002	5.7666
157	company	61	574.7776	5.7595
158	'maez	60	565.355	5.7523
158	'pad	60	565.355	5.7523
158	chomit	60	565.355	5.7523
158	kavet	60	565.355	5.7523
158	plijet	60	565.355	5.7523
158	serr	60	565.355	5.7523
158	tont	60	565.355	5.7523
159	deuit	59	555.9325	5.745
159	marplij	59	555.9325	5.745
160	forzh	58	546.5099	5.7376
160	gentañ	58	546.5099	5.7376
160	raio	58	546.5099	5.7376
161	'tra	57	537.0873	5.73
161	ganeomp	57	537.0873	5.73
161	ganti	57	537.0873	5.73
162	'vel	56	527.6647	5.7224
162	buhez	56	527.6647	5.7224
162	roet	56	527.6647	5.7224
163	wech	55	518.2421	5.7145
164	'rit	54	508.8195	5.7066
164	dispar	54	508.8195	5.7066
164	kevrenn	54	508.8195	5.7066
164	kollet	54	508.8195	5.7066
164	lez	54	508.8195	5.7066
164	soñjal	54	508.8195	5.7066
164	tan	54	508.8195	5.7066
165	'fell	53	499.397	5.6984
165	baotred	53	499.397	5.6984
165	bras	53	499.397	5.6984
165	eno	53	499.397	5.6984
165	merc'hed	53	499.397	5.6984
165	pebezh	53	499.397	5.6984
165	reiñ	53	499.397	5.6984
165	rin	53	499.397	5.6984
165	selaou	53	499.397	5.6984
165	tapet	53	499.397	5.6984
166	a-du	52	489.9744	5.6902
166	bez	52	489.9744	5.6902
166	brein	52	489.9744	5.6902
166	cheñchet	52	489.9744	5.6902
166	deiz	52	489.9744	5.6902
166	dra-se	52	489.9744	5.6902
166	eñ	52	489.9744	5.6902
166	kalz	52	489.9744	5.6902
166	nevez	52	489.9744	5.6902
166	paourkaezh	52	489.9744	5.6902
166	vefe	52	489.9744	5.6902
167	'keta	51	480.5518	5.6817
167	'oar	51	480.5518	5.6817
167	du-se	51	480.5518	5.6817
167	emañ	51	480.5518	5.6817
167	hoc'h	51	480.5518	5.6817
167	krediñ	51	480.5518	5.6817
167	lol	51	480.5518	5.6817
168	cheñch	50	471.1292	5.6731
168	devezh	50	471.1292	5.6731
168	dirak	50	471.1292	5.6731
