Rank	Word	Frequency	Frequency per million	Zipf value
306	oro	66	148.9771	5.1731
306	reiru	66	148.9771	5.1731
307	animo	65	146.7199	5.1665
307	chu	65	146.7199	5.1665
307	dormas	65	146.7199	5.1665
307	forlasis	65	146.7199	5.1665
307	helpon	65	146.7199	5.1665
307	mondon	65	146.7199	5.1665
307	reveni	65	146.7199	5.1665
307	siaj	65	146.7199	5.1665
307	similas	65	146.7199	5.1665
307	trankvile	65	146.7199	5.1665
307	ŝtelis	65	146.7199	5.1665
308	aferojn	64	144.4627	5.1598
308	antaŭen	64	144.4627	5.1598
308	atendi	64	144.4627	5.1598
308	dormi	64	144.4627	5.1598
308	kies	64	144.4627	5.1598
308	timu	64	144.4627	5.1598
308	ve	64	144.4627	5.1598
309	aĉeti	63	142.2054	5.1529
309	demandas	63	142.2054	5.1529
309	fero	63	142.2054	5.1529
309	fojon	63	142.2054	5.1529
309	foriros	63	142.2054	5.1529
309	nokte	63	142.2054	5.1529
309	ofte	63	142.2054	5.1529
309	paco	63	142.2054	5.1529
309	patron	63	142.2054	5.1529
309	revido	63	142.2054	5.1529
309	scipovas	63	142.2054	5.1529
309	vento	63	142.2054	5.1529
309	veron	63	142.2054	5.1529
310	ah	62	139.9482	5.146
310	arbo	62	139.9482	5.146
310	ekzemple	62	139.9482	5.146
310	lumo	62	139.9482	5.146
310	malamas	62	139.9482	5.146
310	preta	62	139.9482	5.146
310	sendis	62	139.9482	5.146
310	terura	62	139.9482	5.146
310	tian	62	139.9482	5.146
310	timo	62	139.9482	5.146
310	turf	62	139.9482	5.146
311	celo	61	137.691	5.1389
311	lasi	61	137.691	5.1389
311	malfacile	61	137.691	5.1389
311	polico	61	137.691	5.1389
311	ricevos	61	137.691	5.1389
311	tria	61	137.691	5.1389
311	ĉie	61	137.691	5.1389
312	boars	60	135.4338	5.1317
312	caro	60	135.4338	5.1317
312	demandis	60	135.4338	5.1317
312	dormis	60	135.4338	5.1317
312	infanojn	60	135.4338	5.1317
312	lasos	60	135.4338	5.1317
312	longa	60	135.4338	5.1317
312	lupoj	60	135.4338	5.1317
312	propra	60	135.4338	5.1317
312	staras	60	135.4338	5.1317
312	terure	60	135.4338	5.1317
