Rank	Word	Frequency	Frequency per million	Zipf value
228	nostra	1750	510.6628	5.7081
229	nostres	1741	508.0365	5.7059
230	d'aquí	1736	506.5775	5.7046
231	diners	1716	500.7413	5.6996
232	t'ho	1708	498.4069	5.6976
233	raó	1706	497.8233	5.6971
234	deixar	1698	495.4888	5.695
235	totes	1687	492.2789	5.6922
236	mal	1678	489.6527	5.6899
237	amic	1669	487.0264	5.6876
238	qualsevol	1662	484.9837	5.6857
239	creus	1656	483.2329	5.6842
240	família	1619	472.436	5.6743
240	m'ha	1619	472.436	5.6743
241	uns	1613	470.6852	5.6727
242	fent	1600	466.8917	5.6692
243	aquestes	1592	464.5572	5.667
244	necessito	1591	464.2654	5.6668
245	dins	1579	460.7637	5.6635
246	noi	1563	456.0948	5.6591
247	poder	1536	448.216	5.6515
248	ben	1532	447.0488	5.6504
249	morir	1528	445.8816	5.6492
249	seves	1528	445.8816	5.6492
250	policia	1520	443.5471	5.6469
251	espera	1500	437.711	5.6412
252	terra	1499	437.4192	5.6409
253	greu	1493	435.6683	5.6392
254	durant	1487	433.9175	5.6374
255	tothom	1481	432.1666	5.6357
256	noia	1472	429.5404	5.633
257	altres	1466	427.7895	5.6312
257	avui	1466	427.7895	5.6312
258	debò	1463	426.9141	5.6303
259	sol	1439	419.9107	5.6232
260	teus	1434	418.4517	5.6216
261	donar	1430	417.2844	5.6204
262	cotxe	1423	415.2418	5.6183
263	punt	1419	414.0746	5.6171
264	problema	1400	408.5302	5.6112
265	fer-ho	1380	402.6941	5.605
265	heu	1380	402.6941	5.605
266	venir	1373	400.6514	5.6028
267	deu	1372	400.3596	5.6025
268	sortir	1370	399.776	5.6018
269	entre	1365	398.317	5.6002
270	idea	1360	396.8579	5.5986
271	bo	1356	395.6907	5.5974
272	guerra	1339	390.73	5.5919
273	ciutat	1337	390.1464	5.5912
274	dic	1326	386.9365	5.5876
275	dues	1321	385.4775	5.586
275	m'ho	1321	385.4775	5.586
275	tenen	1321	385.4775	5.586
276	trobat	1319	384.8938	5.5853
277	algun	1304	380.5167	5.5804
277	collons	1304	380.5167	5.5804
278	me	1302	379.9331	5.5797
278	pensar	1302	379.9331	5.5797
279	vosaltres	1296	378.1823	5.5777
280	sang	1293	377.3068	5.5767
281	escolta	1285	374.9724	5.574
282	seria	1280	373.5134	5.5723
283	dies	1276	372.3461	5.5709
283	dius	1276	372.3461	5.5709
284	contra	1273	371.4707	5.5699
285	amics	1269	370.3035	5.5686
286	aquell	1260	367.6772	5.5655
287	acabat	1253	365.6346	5.563
288	vegades	1251	365.0509	5.5624
289	faré	1250	364.7591	5.562
290	sabia	1247	363.8837	5.561
291	menjar	1242	362.4247	5.5592
292	nois	1234	360.0902	5.5564
293	cal	1231	359.2148	5.5554
294	demà	1224	357.1721	5.5529
294	pas	1224	357.1721	5.5529
295	te	1223	356.8803	5.5525
296	pensava	1222	356.5885	5.5522
297	por	1220	356.0049	5.5515
298	d'això	1211	353.3786	5.5482
299	cas	1210	353.0868	5.5479
300	eh	1196	349.0015	5.5428
300	nova	1196	349.0015	5.5428
300	quant	1196	349.0015	5.5428
301	mentre	1183	345.208	5.5381
302	veig	1181	344.6244	5.5373
303	vingut	1180	344.3326	5.537
304	aviat	1168	340.8309	5.5325
305	filla	1165	339.9555	5.5314
306	tard	1161	338.7883	5.5299
307	anat	1149	335.2866	5.5254
308	senyora	1145	334.1194	5.5239
309	vostre	1132	330.3259	5.5189
310	me'n	1127	328.8668	5.517
311	puta	1125	328.2832	5.5162
312	hora	1121	327.116	5.5147
313	començar	1113	324.7815	5.5116
313	n'hi	1113	324.7815	5.5116
313	sentir	1113	324.7815	5.5116
314	vine	1110	323.9061	5.5104
315	mà	1107	323.0307	5.5092
316	sols	1100	320.988	5.5065
317	suposo	1094	319.2372	5.5041
318	t'he	1082	315.7355	5.4993
319	cara	1080	315.1519	5.4985
320	realment	1067	311.3584	5.4933
321	sort	1063	310.1912	5.4916
322	ah	1061	309.6076	5.4908
322	faig	1061	309.6076	5.4908
323	moltes	1058	308.7321	5.4896
324	ulls	1055	307.8567	5.4883
325	camí	1048	305.8141	5.4855
326	compte	1046	305.2304	5.4846
327	favor	1044	304.6468	5.4838
328	tingut	1043	304.355	5.4834
329	persona	1039	303.1878	5.4817
330	d'anar	1038	302.896	5.4813
331	poden	1037	302.6042	5.4809
332	penso	1032	301.1451	5.4788
333	fos	1031	300.8533	5.4784
334	veus	1025	299.1025	5.4758
335	d'aquesta	1020	297.6435	5.4737
336	davant	1017	296.768	5.4724
337	penses	1014	295.8926	5.4711
338	sota	1011	295.0172	5.4698
339	capità	1005	293.2663	5.4673
340	sou	1003	292.6827	5.4664
341	entenc	1000	291.8073	5.4651
342	petit	999	291.5155	5.4647
343	pels	997	290.9319	5.4638
344	molts	992	289.4728	5.4616
345	portar	986	287.722	5.459
346	cinc	985	287.4302	5.4585
347	cert	984	287.1384	5.4581
348	fills	980	285.9712	5.4563
349	m'he	979	285.6794	5.4559
350	d'haver	977	285.0957	5.455
350	viu	977	285.0957	5.455
351	costat	974	284.2203	5.4537
351	història	974	284.2203	5.4537
352	tal	973	283.9285	5.4532
352	vostra	973	283.9285	5.4532
353	gaire	969	282.7613	5.4514
354	posar	968	282.4695	5.451
355	menys	966	281.8859	5.4501
356	cor	963	281.0104	5.4487
357	adéu	958	279.5514	5.4465
357	arribar	958	279.5514	5.4465
358	val	957	279.2596	5.446
