Rank	Word	Frequency	Frequency per million	Zipf value
398	माफ़	117	149.2065	5.1738
398	शक्ति	117	149.2065	5.1738
398	शांति	117	149.2065	5.1738
399	कमीने	116	147.9313	5.1701
399	जॉन	116	147.9313	5.1701
399	दस	116	147.9313	5.1701
399	प्रकार	116	147.9313	5.1701
399	होंगे	116	147.9313	5.1701
400	आवाज	114	145.3807	5.1625
400	ग्रह	114	145.3807	5.1625
400	भोजन	114	145.3807	5.1625
400	मामले	114	145.3807	5.1625
400	सं	114	145.3807	5.1625
401	कहो	113	144.1054	5.1587
401	दुश्मन	113	144.1054	5.1587
401	मृत	113	144.1054	5.1587
401	व्यापार	113	144.1054	5.1587
402	कोड	112	142.8302	5.1548
402	फ्यूरर	112	142.8302	5.1548
402	संभाल	112	142.8302	5.1548
402	हाउस	112	142.8302	5.1548
403	इच्छा	111	141.5549	5.1509
403	निशान	111	141.5549	5.1509
403	रंग	111	141.5549	5.1509
403	राज्य	111	141.5549	5.1509
403	व्हाइट	111	141.5549	5.1509
403	साहब	111	141.5549	5.1509
403	स्वीकार	111	141.5549	5.1509
404	आसपास	110	140.2796	5.147
404	खोज	110	140.2796	5.147
404	चेहरे	110	140.2796	5.147
404	जिस	110	140.2796	5.147
404	तेजी	110	140.2796	5.147
404	बचाने	110	140.2796	5.147
404	लेकर	110	140.2796	5.147
404	हथियार	110	140.2796	5.147
405	क्लिक	109	139.0044	5.143
405	चुके	109	139.0044	5.143
405	पूर्व	109	139.0044	5.143
405	श्रीमान	109	139.0044	5.143
406	खेद	108	137.7291	5.139
406	लाया	108	137.7291	5.139
406	संदेश	108	137.7291	5.139
407	अनुमति	107	136.4538	5.135
407	चोरी	107	136.4538	5.135
407	लेना	107	136.4538	5.135
407	हम्म	107	136.4538	5.135
408	अध्यक्ष	106	135.1786	5.1309
408	कमरे	106	135.1786	5.1309
408	करके	106	135.1786	5.1309
408	नई	106	135.1786	5.1309
408	सामान्य	106	135.1786	5.1309
409	उड़ान	105	133.9033	5.1268
409	कार्यालय	105	133.9033	5.1268
409	बढ़िया	105	133.9033	5.1268
