Rank	Word	Frequency	Frequency per million	Zipf value
213	მჲზვმ	484	390.6111	5.5917
213	ნაპვე	484	390.6111	5.5917
214	პაბჲრთ	483	389.8041	5.5908
214	ჟლსფთ	483	389.8041	5.5908
215	რსკა	480	387.3829	5.5881
216	ჟრანა	478	385.7688	5.5863
217	ეჲჟრა	474	382.5407	5.5827
218	ჱარჲგა	470	379.3125	5.579
219	ვევნ	467	376.8913	5.5762
220	ეაი	463	373.6631	5.5725
221	მჲპა	461	372.049	5.5706
222	რა	458	369.6279	5.5678
223	მჲწ	456	368.0138	5.5659
224	გთეთმ	455	367.2067	5.5649
225	მთჟლამ	451	363.9786	5.5611
226	ზთგჲრ	448	361.5574	5.5582
226	ჲჳ	448	361.5574	5.5582
227	ეგა	442	356.7151	5.5523
227	მამჲ	442	356.7151	5.5523
228	ჟვბვ	441	355.9081	5.5513
229	რამს	440	355.101	5.5504
230	ნსზეა	437	352.6799	5.5474
231	მთჟლვჳ	432	348.6446	5.5424
232	დჲგჲპთ	431	347.8376	5.5414
233	ეჲბყპ	429	346.2235	5.5394
233	ეჲიევ	429	346.2235	5.5394
234	ჲბთფამ	423	341.3812	5.5332
235	ნაფთნ	422	340.5742	5.5322
236	ჲჟრაგთ	420	338.9601	5.5301
237	თჱგთნვრვ	418	337.346	5.5281
237	ჟაკაქ	418	337.346	5.5281
238	ოჲ-ეჲბპვ	417	336.5389	5.527
238	პაჱბთპამ	417	336.5389	5.527
239	ნვკჲ	416	335.7319	5.526
240	ეჲბპა	415	334.9248	5.5249
240	ოპთწრვლ	415	334.9248	5.5249
241	ნწკჲლკჲ	414	334.1178	5.5239
242	მე	413	333.3107	5.5228
243	მჲზამ	412	332.5037	5.5218
244	ბპარ	411	331.6966	5.5207
245	თმვ	405	326.8544	5.5144
246	ოაპთრვ	402	324.4332	5.5111
247	ჲნა	398	321.205	5.5068
248	მჲი	397	320.398	5.5057
249	ჟთდსპვნ	396	319.5909	5.5046
250	ჱნავრვ	394	317.9768	5.5024
250	ჲრნჲგჲ	394	317.9768	5.5024
251	კაკგა	388	313.1345	5.4957
252	დლაგარა	386	311.5204	5.4935
252	მალკს	386	311.5204	5.4935
253	მჲზვბთ	382	308.2923	5.489
254	ცრჲ	381	307.4852	5.4878
255	თმარვ	378	305.0641	5.4844
255	თმაქვ	378	305.0641	5.4844
255	კაკგჲრჲ	378	305.0641	5.4844
255	ჟრანვ	378	305.0641	5.4844
256	ეჲჟრარყფნჲ	377	304.257	5.4832
256	პაბჲრარა	377	304.257	5.4832
257	ჳვი	375	302.6429	5.4809
258	კჲვ	374	301.8359	5.4798
259	ეპსდჲ	373	301.0288	5.4786
259	მჲთრვ	373	301.0288	5.4786
259	ჲეთმვ	373	301.0288	5.4786
260	ოპაგწ	372	300.2218	5.4774
261	დჲგჲპთქ	370	298.6077	5.4751
261	კაჱგამ	370	298.6077	5.4751
262	სქრვ	369	297.8006	5.4739
263	ეს	365	294.5724	5.4692
263	ჟსოვპ	365	294.5724	5.4692
263	რჲდაქ	365	294.5724	5.4692
264	თჱდლვზეა	364	293.7654	5.468
265	ბთლა	361	291.3443	5.4644
266	ჟრპანა	359	289.7302	5.462
267	გვენადა	358	288.9231	5.4608
268	მჲჲრ	357	288.1161	5.4596
269	ნაოპაგთქ	355	286.502	5.4571
270	გთეთ	353	284.8879	5.4547
271	ნჲღ	352	284.0808	5.4534
271	ჟკჲპჲ	352	284.0808	5.4534
272	დჲეთნა	351	283.2738	5.4522
273	მჲ	350	282.4667	5.451
274	ეჲმა	349	281.6597	5.4497
274	მჲმფვრა	349	281.6597	5.4497
275	კჲა	347	280.0456	5.4472
276	თმვრჲ	345	278.4315	5.4447
277	დჲჟოჲეთ	344	277.6244	5.4435
278	რთვ	343	276.8174	5.4422
278	ფაკაი	343	276.8174	5.4422
279	მჲლამ	342	276.0103	5.4409
279	მჲმფვ	342	276.0103	5.4409
